91,Eddie Whitson,P,Topps,516,1989,EXCELLENT,,
92,Glenn Braggs,OF,Topps,718,1989,EXCELLENT,,
93,Mike Krukow,P,Topps,125,1989,EXCELLENT,,
94,Donell Mixon,OF,Topps,447,1989,GOOD,,
95,John Moses,OF,Topps,72,1989,EXCELLENT,,
96,Jay Tibbs,P,Topps,271,1989,EXCELLENT,,
97,Ozzie Virgil,C,Topps,179,1989,FAIR,,
98,Mark Williamson,P,Topps,546,1989,EXCELLENT,,
99,John Moses,OF,Topps,72,1989,FAIR,,
100,Terry Pendleton,3B,Topps,375,1989,EXCELLENT,,
101,Dallas Green,MGR,Topps,104,1989,EXCELLENT,,
102,Bruce Fields,OF,Topps,556,1989,EXCELLENT,,
103,Bill Long,P,Topps,133,1989,EXCELLENT,,
104,Chris Brown,3B,Topps,481,1989,EXCELLENT,,
105,Mark Portugal,P,Topps,46,1989,FAIR,,
106,Mike Bielecki,P,Topps,668,1989,EXCELLENT,,
107,Marvell Wynne,OF,Topps,353,1989,EXCELLENT,,
108,Mark Davis,P,Topps,59,1989,GOOD,,
109,Al Newman,2B-SS,Topps,503,1989,EXCELLENT,,
110,Rick Honeycutt,P,Topps,328,1989,EXCELLENT,,
111,Brook Jacoby,3B,Topps,739,1989,EXCELLENT,,
112,Mark Davidson,OF,Topps,451,1989,EXCELLENT,,
113,Doyle Alexander,P,Topps,77,1989,FAIR,,
114,Mike Marshall,OF-1B,Topps,582,1989,EXCELLENT,,
115,Jeff Hudson,SS,Score,263,1991,GOOD,,
116,"Ken Griffey, Jr.",CF,Score,396,1991,EXCELLENT,,
117,Kurt Stillwell,SS,Topps,596,1989,EXCELLENT,,
118,Jim Sundberg,C,Topps,78,1989,EXCELLENT,,
119,Dann Bilardello,C,Topps,682,1990,EXCELLENT,,
120,Mariano Duncan,SS,Topps,234,1990,EXCELLENT,,
121,Nick Leyva,MGR,Topps,489,1990,EXCELLENT,,
122,Jeff Shaw,P,Upper Deck,660,1991,EXCELLENT,,
123,Joe Klink,P,Upper Deck,530,1991,FAIR,,
124,Sid Fernandez,P,Upper Deck,671,1991,EXCELLENT,,
125,Jim Eisenreich,OF,Upper Deck,539,1991,FAIR,,
126,Mickey Morandini,2B,Upper Deck,449,1991,EXCELLENT,,
127,Royce Clayton,SS,Upper Deck,2,1991,EXCELLENT,,
128,Joe Slusarski,P,Upper Deck,663,1991,EXCELLENT,,
129,Don Slaught,C,Upper Deck,540,1991,GOOD,,
130,Milt Cuyler,OF,Upper Deck,536,1991,EXCELLENT,,
131,Rex Hudler,IF,Upper Deck,670,1991,EXCELLENT,,
132,Bobby Thigpen,RP,Score,280,1991,EXCELLENT,,
133,Dan Plesac,RP,Score,275,1991,EXCELLENT,,
134,Mike Morgan,P,Score,276,1991,FAIR,,
135,Kevin Seitzer,3B,Score,279,1991,EXCELLENT,,
136,Steve Finley,CF,Score,266,1991,EXCELLENT,,
137,Steve Lyons,IF-OF,Score,269,1991,EXCELLENT,,
138,Kevin Appier,P,Score,268,1991,EXCELLENT,,
139,Mark Lemke,2B,Topps,451,1990,EXCELLENT,,
140,Curt Wilkerson,SS-2B,Topps,667,1990,GOOD,,
141,Keith Miller,OF,Topps,268,1989,EXCELLENT,,
142,Greg Harris,P,Topps,627,1989,EXCELLENT,,
143,Luis Alicea,2B,Topps,588,1989,FAIR,,
144,Tom Niedenfuer,P,Topps,306,1990,EXCELLENT,,
145,Rick Mahler,P,Topps,151,1990,GOOD,,
146,John Morris,OF,Topps,383,1990,EXCELLENT,,
147,Matt Young,P,Topps,501,1990,EXCELLENT,,
148,Jose Guzman,P,Topps,308,1990,GOOD,,
149,Tim Teufel,2B,Topps,764,1990,EXCELLENT,,
150,Tom Trebelhorn,MGR,Topps,759,1990,EXCELLENT,,
151,Daryl Boston,OF,Topps,524,1990,EXCELLENT,,
152,Al Leiter,P,Topps,138,1990,FAIR,,
153,Jimmy Jones,P,Topps,359,1990,EXCELLENT,,
154,Juan Agosto,P,Topps,181,1990,FAIR,,
155,Mike Dunne,P,Topps,522,1990,EXCELLENT,,
156,Louie Meadows,OF,Topps,534,1990,EXCELLENT,,
157,Bill Krueger,P,Topps,518,1990,EXCELLENT,,
158,Chris Speier,3B-SS,Topps,753,1990,EXCELLENT,,
159,Danny Cox,P,Topps,184,1990,GOOD,,
160,Lance Johnson,OF,Topps,587,1990,EXCELLENT,,
161,Darrin Jackson,OF,Topps,624,1990,EXCELLENT,,
162,Jeff Musselman,P,Topps,382,1990,EXCELLENT,,
163,Bill Long,P,Topps,499,1990,EXCELLENT,,
164,Otis Nixon,OF,Topps,252,1990,FAIR,,
165,Roy Smith,P,Topps,672,1990,EXCELLENT,,
166,Jim Leyland,MGR,Topps,699,1990,EXCELLENT,,
167,Keith Miller,2B-OF,Topps,157,1992,EXCELLENT,,
168,Willie Fraser,P,Topps,679,1989,EXCELLENT,,
169,Benny Santiago,C,Topps,185,1992,EXCELLENT,,
170,Bill Sampen,P,Topps,566,1992,EXCELLENT,,
171,Charlie Leibrandt,P,Topps,152,1992,EXCELLENT,,
172,Wally Backman,2B-3B,Topps,434,1992,EXCELLENT,,
173,Larry Andersen,P,Topps,616,1992,EXCELLENT,,
174,Walt Weiss,SS,Topps,691,1992,EXCELLENT,,
